Generation 0,Generation 1,Generation 2,Generation 3,Generation 4,Generation 5,Generation 6,Generation 7,Generation 8,Generation 9,Generation 10,Generation 11,Generation 12,Generation 13,Generation 14,Generation 15,Generation 16,Generation 17,Generation 18,Generation 19,Generation 20,Generation 21,Generation 22,Generation 23,Generation 24,Generation 25,Generation 26,Generation 27,Generation 28,Generation 29,Generation 30,Generation 31,Generation 32,Generation 33,Generation 34,Generation 35,Generation 36,Generation 37,Generation 38,Generation 39,Generation 40,Generation 41,Generation 42,Generation 43,Generation 44,Generation 45,Generation 46,Generation 47,Generation 48,Generation 49,Generation 50
points blocked,6,6,5,4,10,6,10,6,6,4,6,6,6,10,6,6,6,5,6,10,10,6,6,6,5,6,10,6,6,5,6,5,6,5,5,5,6,5,6,5,6,5,6,5,10,5,10,10,5,5
points entering room,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
soild percentage,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68
perforation percentage,74.867259,74.867259,62.300888,58.112098,59.787614,66.489678,100,74.867259,66.489678,58.112098,74.867259,66.489678,66.489678,100,66.489678,66.489678,66.489678,62.300888,74.867259,100,100,66.489678,66.489678,66.489678,62.300888,66.489678,100,66.489678,74.867259,62.300888,74.867259,62.300888,66.489678,62.300888,62.300888,62.300888,74.867259,62.300888,74.867259,62.300888,66.489678,62.300888,74.867259,62.300888,100,62.300888,59.787614,100,62.300888,62.300888
distance between skin and facade,25.132741,25.132741,37.699112,41.887902,40.212386,33.510322,100,25.132741,33.510322,41.887902,25.132741,33.510322,33.510322,100,33.510322,33.510322,33.510322,37.699112,25.132741,100,100,33.510322,33.510322,33.510322,37.699112,33.510322,100,33.510322,25.132741,37.699112,25.132741,37.699112,33.510322,37.699112,37.699112,37.699112,25.132741,37.699112,25.132741,37.699112,33.510322,37.699112,25.132741,37.699112,100,37.699112,40.212386,100,37.699112,37.699112
cell 0,24.12,24.12,24.12,24.06,24.12,24.14,24.1,24.14,24.09,24.1,24.07,24.11,24.1,24.08,24.12,24.12,24.1,24.12,24.1,24.1,24.08,24.1,24.08,24.11,24.1,24.09,24.09,24.12,24.09,24.11,24.13,24.1,24.1,24.15,24.14,24.11,24.1,24.14,24.12,24.1,24.1,24.12,24.11,24.1,24.1,24.12,24.11,24.09,24.11,24.07
cell 1,24.75,24.84,24.86,24.71,24.94,24.86,24.86,24.89,24.88,24.83,24.86,24.83,24.87,24.79,24.83,24.83,24.89,24.91,24.79,24.88,24.83,24.84,24.78,24.93,24.8,24.86,24.88,24.85,24.95,24.89,24.92,24.93,24.9,24.88,24.83,24.91,24.85,24.93,24.87,24.85,24.95,24.88,24.78,24.79,24.87,24.91,24.84,24.85,24.88,24.9
cell 2,24.81,24.86,24.83,24.85,24.91,24.84,24.8,24.9,24.82,24.88,24.73,24.87,24.84,24.77,24.85,24.88,24.89,24.8,24.86,24.85,24.8,24.83,24.87,24.86,24.89,24.84,24.85,24.86,24.84,24.85,24.76,24.8,24.82,24.79,24.85,24.82,24.85,24.81,24.77,24.82,24.87,24.89,24.82,24.9,24.87,24.81,24.83,24.79,24.85,24.88
cell 3,24.1,24.1,24.1,24.12,24.09,24.09,24.11,24.09,24.1,24.1,24.12,24.08,24.11,24.1,24.11,24.11,24.1,24.12,24.1,24.1,24.09,24.11,24.11,24.12,24.1,24.11,24.1,24.09,24.11,24.09,24.13,24.12,24.13,24.1,24.09,24.13,24.13,24.11,24.1,24.07,24.11,24.09,24.12,24.11,24.1,24.09,24.12,24.11,24.11,24.11
cell 4,24.88,24.9,24.82,24.84,24.85,24.84,24.83,24.86,24.79,24.76,24.81,24.81,24.81,24.83,24.78,24.8,24.75,24.8,24.8,24.82,24.83,24.79,24.7,24.9,24.71,24.9,24.89,24.79,24.9,24.91,24.87,24.78,24.84,24.93,24.83,24.81,24.83,24.87,24.79,24.8,24.9,24.76,24.77,24.94,24.84,24.81,24.93,24.89,24.81,24.83
cell 5,24.84,24.95,24.76,24.86,24.89,24.9,24.81,24.84,24.86,24.93,24.84,24.8,24.93,24.84,24.88,24.9,24.85,24.86,24.84,24.89,24.88,24.89,24.89,24.89,24.76,24.88,24.9,24.78,24.86,24.84,24.8,24.8,24.8,24.8,24.82,24.84,24.89,24.76,24.9,24.86,24.86,24.94,24.89,24.84,24.83,24.91,24.8,24.83,24.84,24.84
cell 6,24.25,24.26,24.2,24.22,24.18,24.3,24.16,24.27,24.22,24.14,24.22,24.28,24.27,24.27,24.24,24.19,24.23,24.25,24.22,24.21,24.24,24.23,24.31,24.2,24.23,24.24,24.24,24.28,24.25,24.26,24.22,24.29,24.26,24.26,24.22,24.2,24.22,24.2,24.23,24.26,24.21,24.26,24.22,24.2,24.24,24.22,24.21,24.23,24.26,24.22
cell 7,24.62,24.62,24.69,24.65,24.74,24.71,24.6,24.7,24.68,24.67,24.65,24.66,24.69,24.65,24.59,24.73,24.67,24.72,24.69,24.72,24.67,24.71,24.65,24.66,24.64,24.75,24.7,24.66,24.61,24.7,24.73,24.68,24.77,24.67,24.66,24.71,24.66,24.69,24.62,24.71,24.64,24.68,24.72,24.65,24.71,24.7,24.64,24.73,24.66,24.77
